name,buy,type
 Дженкинс Филипп: Многоликий Христос. Тысячелетняя история тайных евангелий ,"Купили,756,раз",Христианство
 Эванс Крейг: Иисус против священников ,"Купили,79,раз",Религиоведение
 Урушев Дмитрий Александрович: Звезда Альтаир. Старообрядческая сказка ,"Купили,270,раз",Религиоведение
 Селидор: Последняя тайна Варяжской Руси. Мифы и правда о русской цивилизации ,"Купили,74,раза",Религиоведение
 Черных Наталья Борисовна: Подвижницы. Святые женщины нашего времени ,"Купили,111,раз",Религиоведение
 Росси Марчело: Агапа: Настоящая любовь ,"Купили,142,раза",Христианство
 Болотина Дарья : Дивеево. История места и святынь. Наставления святых. Современная жизнь ,"Купили,50,раз",Христианство
 Эрман Барт Д.: Триумф христианства. Как запрещенная религия перевернула мир ,"Купили,100,раз",Христианство
" Протеро Стивен: Восемь религий, которые правят миром: Все об их соперничестве, сходстве и различиях (2-е издание) ","Купили,444,раза",Религиоведение
" Спонг Джон Шелби: Иисус для неверующих. Основатель христианства без мифов, легенд и церковных доктрин ","Купили,100,раз",Религиоведение
 Архимандрит Спиридон (Кисляков): Я хочу пламени. Жизнь и молитва ,"Купили,201,раз",Христианство
 Латынина Юлия: Иисус. Историческое расследование ,"Купили,2897,раз",Христианство
 Алфеева Валерия Анатольева: Священный Синай: Рассказы о святых землях ,"Купили,80,раз",Христианство
 Корчевников Борис Вячеславович: Имя России. Духовная история страны ,"Купили,238,раз",Религиоведение
" Маккалох Диармайд: Христианство. Три тысячи лет. Второе издание (оф.1, золот.) ","Купили,75,раз",Христианство
 Библия.Ветхий и Новый завет ,"Купили,24,раза",АСТ
 Мирнова Светлана Сергеевна: Библия для самых маленьких (с грифом РПЦ) ,"Купили,99,раз",Христианство
 Андреева Инна Валерьевна: Пасхальные люди. Рассказы о святых женах ,"Купили,57,раз",Христианство
 Никодим Павлович Кондаков: Русская икона [книга в футляре] ,"Купили,97,раз",Христианство
 Комаров Сергей Николаевич: Всегда ищите добра. Как жить по вере в согласии с учением Христовым ,"Купили,75,раз",Христианство
 Протоиерей Ткачев Андрей: Возвращение домой. Когда рождается вера ,"Купили,161,раз",Христианство
 Протоиерей Ткачев Андрей: Ступени к Небу. Как научиться любить людей ,"Купили,102,раза",Христианство
 Доре Г.: Библия. Книги Священного Писания Ветхого и Нового Завета ,"Купили,153,раза",Христианство
 Керриган Майкл: Темная история Библии ,"Купили,75,раз",Религиоведение
 Нидал Лама Оле: Открытие Алмазного пути. Тибетский буддизм встречается с Западом ,"Купили,63,раза",Буддизм
" Чтобы все спаслись. Рай, ад и всеобщее спасение ","Купили,50,раз",Религиоведение
 Далай-лама: Приближаясь к буддийскому пути ,"Купили,75,раз",Буддизм
" Булгакова Ирина : Молитвы для здоровья. Все самые важные молитвы, чтобы уберечь себя и близких ","Купили,50,раз",Христианство
" Армстронг Карен: История Бога: 4000 лет исканий в иудаизме, христианстве и исламе ","Купили,50,раз",Религиоведение
 Кронштадтский Иоанн: Живая вера сердца ,"Купили,75,раз",Христианство
 Фриман Стивен: Бог одноэтажной вселенной ,"Купили,50,раз",Религиоведение
 Златоуст Иоанн: Безмятежная пристань ,"Купили,66,раз",Христианство
